Vehicle ID; Next Stop ID; Updated At; Scheduled Arrival; Predicted Arrival
39425384;28741;2019-01-09T10:06:41-05:00;2019-01-09T10:10:00-05:00;null
39424626;1780;2019-01-09T10:08:03-05:00;2019-01-09T10:11:00-05:00;2019-01-09T10:10:58-05:00
39425389;21772;2019-01-09T10:06:49-05:00;2019-01-09T10:09:00-05:00;2019-01-09T10:09:09-05:00
39425384;28741;2019-01-09T10:07:26-05:00;2019-01-09T10:10:00-05:00;null
39425389;21772;2019-01-09T10:07:49-05:00;2019-01-09T10:09:00-05:00;2019-01-09T10:08:56-05:00
39424626;1780;2019-01-09T10:09:10-05:00;2019-01-09T10:11:00-05:00;2019-01-09T10:11:55-05:00
39425384;28741;2019-01-09T10:08:26-05:00;2019-01-09T10:10:00-05:00;null
39425389;21773;2019-01-09T10:08:56-05:00;2019-01-09T10:12:00-05:00;2019-01-09T10:11:07-05:00
39424626;1780;2019-01-09T10:09:29-05:00;2019-01-09T10:11:00-05:00;2019-01-09T10:12:09-05:00
39425384;28741;2019-01-09T10:09:26-05:00;2019-01-09T10:10:00-05:00;null
39425389;21773;2019-01-09T10:09:56-05:00;2019-01-09T10:12:00-05:00;2019-01-09T10:11:07-05:00
39424626;1780;2019-01-09T10:11:00-05:00;2019-01-09T10:11:00-05:00;2019-01-09T10:13:04-05:00
39425384;12759;2019-01-09T10:10:59-05:00;2019-01-09T10:13:00-05:00;2019-01-09T10:15:24-05:00
39425389;12231;2019-01-09T10:11:21-05:00;2019-01-09T10:17:00-05:00;2019-01-09T10:13:18-05:00
39425384;12759;2019-01-09T10:12:01-05:00;2019-01-09T10:13:00-05:00;2019-01-09T10:16:04-05:00
39425389;12231;2019-01-09T10:12:21-05:00;2019-01-09T10:17:00-05:00;2019-01-09T10:12:43-05:00
39424626;1780;2019-01-09T10:13:08-05:00;2019-01-09T10:11:00-05:00;2019-01-09T10:13:28-05:00
39425384;12759;2019-01-09T10:13:13-05:00;2019-01-09T10:13:00-05:00;2019-01-09T10:14:04-05:00
39424626;1780;2019-01-09T10:14:10-05:00;2019-01-09T10:11:00-05:00;2019-01-09T10:14:16-05:00
39425389;12231;2019-01-09T10:13:21-05:00;2019-01-09T10:17:00-05:00;null
39425384;12759;2019-01-09T10:14:07-05:00;2019-01-09T10:13:00-05:00;2019-01-09T10:14:14-05:00
39424626;31317;2019-01-09T10:15:04-05:00;2019-01-09T10:13:00-05:00;2019-01-09T10:16:13-05:00
39425389;12231;2019-01-09T10:14:21-05:00;2019-01-09T10:17:00-05:00;null
39425384;2762;2019-01-09T10:15:05-05:00;2019-01-09T10:15:00-05:00;2019-01-09T10:16:19-05:00
39425384;2762;2019-01-09T10:16:11-05:00;2019-01-09T10:15:00-05:00;2019-01-09T10:16:05-05:00
39425389;2521;2019-01-09T10:14:46-05:00;2019-01-09T10:19:00-05:00;2019-01-09T10:18:17-05:00
39425384;2612;2019-01-09T10:17:12-05:00;2019-01-09T10:16:00-05:00;2019-01-09T10:17:39-05:00
39424626;1784;2019-01-09T10:17:34-05:00;2019-01-09T10:15:00-05:00;2019-01-09T10:17:50-05:00
39425389;2521;2019-01-09T10:16:46-05:00;2019-01-09T10:19:00-05:00;2019-01-09T10:17:06-05:00
39425384;2612;2019-01-09T10:18:06-05:00;2019-01-09T10:16:00-05:00;2019-01-09T10:18:04-05:00
39425389;2521;2019-01-09T10:17:46-05:00;2019-01-09T10:19:00-05:00;null
39424626;17861;2019-01-09T10:19:05-05:00;2019-01-09T10:18:00-05:00;2019-01-09T10:20:08-05:00
39425384;2514;2019-01-09T10:19:03-05:00;2019-01-09T10:20:00-05:00;2019-01-09T10:21:01-05:00
39425389;2525;2019-01-09T10:18:46-05:00;2019-01-09T10:23:00-05:00;2019-01-09T10:19:40-05:00
39425386;17863;2019-01-09T10:20:05-05:00;2019-01-09T10:25:00-05:00;null
39425384;2514;2019-01-09T10:20:03-05:00;2019-01-09T10:20:00-05:00;2019-01-09T10:20:46-05:00
39425389;2525;2019-01-09T10:19:46-05:00;2019-01-09T10:23:00-05:00;2019-01-09T10:20:12-05:00
39425386;17863;2019-01-09T10:20:56-05:00;2019-01-09T10:25:00-05:00;null
39425384;2514;2019-01-09T10:20:55-05:00;2019-01-09T10:20:00-05:00;2019-01-09T10:21:13-05:00
39425389;2525;2019-01-09T10:20:46-05:00;2019-01-09T10:23:00-05:00;null
39425384;2518;2019-01-09T10:22:04-05:00;2019-01-09T10:24:00-05:00;2019-01-09T10:24:06-05:00
39425389;2531;2019-01-09T10:21:46-05:00;2019-01-09T10:26:00-05:00;2019-01-09T10:23:10-05:00
39425386;17863;2019-01-09T10:22:17-05:00;2019-01-09T10:25:00-05:00;null
39425384;2518;2019-01-09T10:22:58-05:00;2019-01-09T10:24:00-05:00;2019-01-09T10:24:02-05:00
39425389;2531;2019-01-09T10:22:46-05:00;2019-01-09T10:26:00-05:00;2019-01-09T10:23:10-05:00
39425386;17863;2019-01-09T10:24:02-05:00;2019-01-09T10:25:00-05:00;null
39425384;34579;2019-01-09T10:24:07-05:00;2019-01-09T10:26:00-05:00;2019-01-09T10:27:32-05:00
39425386;17863;2019-01-09T10:25:03-05:00;2019-01-09T10:25:00-05:00;null
39425389;2774;2019-01-09T10:23:46-05:00;2019-01-09T10:28:00-05:00;2019-01-09T10:24:50-05:00
39425384;34579;2019-01-09T10:24:55-05:00;2019-01-09T10:26:00-05:00;2019-01-09T10:27:25-05:00
39425389;2774;2019-01-09T10:25:29-05:00;2019-01-09T10:28:00-05:00;2019-01-09T10:26:24-05:00
39425386;1799;2019-01-09T10:26:07-05:00;2019-01-09T10:26:00-05:00;2019-01-09T10:27:16-05:00
39425384;34579;2019-01-09T10:26:07-05:00;2019-01-09T10:26:00-05:00;2019-01-09T10:26:46-05:00
39425386;1799;2019-01-09T10:27:09-05:00;2019-01-09T10:26:00-05:00;2019-01-09T10:27:31-05:00
39425384;11771;2019-01-09T10:27:05-05:00;2019-01-09T10:29:00-05:00;2019-01-09T10:28:42-05:00
39425389;2778;2019-01-09T10:27:30-05:00;2019-01-09T10:30:00-05:00;2019-01-09T10:28:12-05:00
39425386;1799;2019-01-09T10:27:53-05:00;2019-01-09T10:26:00-05:00;2019-01-09T10:27:55-05:00
39425384;11771;2019-01-09T10:28:08-05:00;2019-01-09T10:29:00-05:00;2019-01-09T10:29:19-05:00
39425389;2777;2019-01-09T10:28:30-05:00;2019-01-09T10:31:00-05:00;null
39425384;11771;2019-01-09T10:29:01-05:00;2019-01-09T10:29:00-05:00;2019-01-09T10:28:59-05:00
39425389;2874;2019-01-09T10:29:30-05:00;2019-01-09T10:35:00-05:00;2019-01-09T10:31:00-05:00
39425386;91391;2019-01-09T10:30:09-05:00;2019-01-09T10:28:00-05:00;2019-01-09T10:30:14-05:00
39425384;22173;2019-01-09T10:30:07-05:00;2019-01-09T10:32:00-05:00;2019-01-09T10:32:09-05:00
39425389;2874;2019-01-09T10:30:30-05:00;2019-01-09T10:35:00-05:00;2019-01-09T10:32:00-05:00
39425386;91391;2019-01-09T10:31:13-05:00;2019-01-09T10:28:00-05:00;2019-01-09T10:31:04-05:00
39425384;22173;2019-01-09T10:31:12-05:00;2019-01-09T10:32:00-05:00;2019-01-09T10:32:29-05:00
39425386;11803;2019-01-09T10:32:13-05:00;2019-01-09T10:31:00-05:00;2019-01-09T10:35:11-05:00
39425389;2874;2019-01-09T10:31:30-05:00;2019-01-09T10:35:00-05:00;2019-01-09T10:31:54-05:00
39425384;22173;2019-01-09T10:32:11-05:00;2019-01-09T10:32:00-05:00;2019-01-09T10:32:14-05:00
39425386;11803;2019-01-09T10:33:11-05:00;2019-01-09T10:31:00-05:00;2019-01-09T10:35:23-05:00
39425384;1773;2019-01-09T10:33:09-05:00;2019-01-09T10:35:00-05:00;2019-01-09T10:35:34-05:00
39425386;11803;2019-01-09T10:33:46-05:00;2019-01-09T10:31:00-05:00;2019-01-09T10:35:45-05:00
39425383;28741;2019-01-09T10:33:30-05:00;2019-01-09T10:45:00-05:00;null
39425384;1773;2019-01-09T10:34:11-05:00;2019-01-09T10:35:00-05:00;2019-01-09T10:35:20-05:00
39425383;28741;2019-01-09T10:34:30-05:00;2019-01-09T10:45:00-05:00;null
39425386;11803;2019-01-09T10:34:57-05:00;2019-01-09T10:31:00-05:00;2019-01-09T10:35:41-05:00
39425384;1773;2019-01-09T10:35:01-05:00;2019-01-09T10:35:00-05:00;2019-01-09T10:35:11-05:00
39425383;28741;2019-01-09T10:35:30-05:00;2019-01-09T10:45:00-05:00;null
39425384;1775;2019-01-09T10:35:55-05:00;2019-01-09T10:37:00-05:00;2019-01-09T10:36:47-05:00
39425383;28741;2019-01-09T10:36:30-05:00;2019-01-09T10:45:00-05:00;null
39425386;11803;2019-01-09T10:37:00-05:00;2019-01-09T10:31:00-05:00;null
39425384;1775;2019-01-09T10:37:05-05:00;2019-01-09T10:37:00-05:00;2019-01-09T10:37:09-05:00
39425383;28741;2019-01-09T10:37:30-05:00;2019-01-09T10:45:00-05:00;null
39425386;1805;2019-01-09T10:38:02-05:00;2019-01-09T10:33:00-05:00;2019-01-09T10:38:58-05:00
39425384;1778;2019-01-09T10:38:09-05:00;2019-01-09T10:41:00-05:00;2019-01-09T10:39:27-05:00
39425383;28741;2019-01-09T10:38:30-05:00;2019-01-09T10:45:00-05:00;null
39425384;1778;2019-01-09T10:39:05-05:00;2019-01-09T10:41:00-05:00;2019-01-09T10:39:45-05:00
39425383;28741;2019-01-09T10:39:30-05:00;2019-01-09T10:45:00-05:00;null
39425386;1807;2019-01-09T10:40:11-05:00;2019-01-09T10:36:00-05:00;2019-01-09T10:41:02-05:00
39425384;1778;2019-01-09T10:40:10-05:00;2019-01-09T10:41:00-05:00;2019-01-09T10:40:11-05:00
39425386;1807;2019-01-09T10:41:02-05:00;2019-01-09T10:36:00-05:00;2019-01-09T10:41:13-05:00
39425383;28741;2019-01-09T10:40:30-05:00;2019-01-09T10:45:00-05:00;null
39425384;1780;2019-01-09T10:41:01-05:00;2019-01-09T10:44:00-05:00;2019-01-09T10:43:57-05:00
39425393;17863;2019-01-09T10:42:07-05:00;2019-01-09T11:00:00-05:00;null
39425383;28741;2019-01-09T10:41:30-05:00;2019-01-09T10:45:00-05:00;null
39425384;1780;2019-01-09T10:41:27-05:00;2019-01-09T10:44:00-05:00;2019-01-09T10:45:11-05:00
39425383;28741;2019-01-09T10:42:30-05:00;2019-01-09T10:45:00-05:00;null
39425393;17863;2019-01-09T10:43:06-05:00;2019-01-09T11:00:00-05:00;null
39425384;1780;2019-01-09T10:42:31-05:00;2019-01-09T10:44:00-05:00;2019-01-09T10:45:24-05:00
39425384;1780;2019-01-09T10:44:02-05:00;2019-01-09T10:44:00-05:00;2019-01-09T10:46:20-05:00
39425384;31317;2019-01-09T10:45:10-05:00;2019-01-09T10:46:00-05:00;2019-01-09T10:46:48-05:00
39425384;31317;2019-01-09T10:46:07-05:00;2019-01-09T10:46:00-05:00;2019-01-09T10:46:20-05:00
39425383;12759;2019-01-09T10:46:35-05:00;2019-01-09T10:48:00-05:00;2019-01-09T10:48:17-05:00
39425393;17863;2019-01-09T10:46:22-05:00;2019-01-09T11:00:00-05:00;null
39425384;31317;2019-01-09T10:47:09-05:00;2019-01-09T10:46:00-05:00;null
39425384;1784;2019-01-09T10:47:56-05:00;2019-01-09T10:48:00-05:00;2019-01-09T10:48:09-05:00
39425383;12759;2019-01-09T10:48:31-05:00;2019-01-09T10:48:00-05:00;null
39425393;17863;2019-01-09T10:48:23-05:00;2019-01-09T11:00:00-05:00;null
